quantidade;digital;quick;bubble
10000;0.001000;0.002000;0.244000
20000;0.003000;0.004000;1.190000
30000;0.005000;0.007000;2.593000
40000;0.005000;0.006000;4.544000
50000;0.008000;0.008000;7.626000
60000;0.011000;0.010000;10.376000
70000;0.011000;0.011000;14.105000
80000;0.013000;0.013000;18.568000
90000;0.016000;0.016000;23.508000
100000;0.019000;0.017000;29.201000
110000;0.025000;0.018000;36.415000
120000;0.027000;0.020000;43.447000
130000;0.032000;0.022000;50.214000
140000;0.037000;0.024000;58.504000
150000;0.042000;0.026000;67.925000
160000;0.054000;0.028000;78.702000
170000;0.054000;0.030000;89.655000
180000;0.065000;0.032000;99.247000
190000;0.109000;0.041000;114.778000
200000;0.080000;0.036000;124.182000
210000;0.104000;0.040000;138.272000
220000;0.127000;0.043000;149.149000
230000;0.120000;0.042000;163.120000
240000;0.132000;0.044000;177.200000
250000;0.169000;0.051000;195.418000
260000;0.170000;0.049000;209.970000
270000;0.212000;0.050000;233.764000
280000;0.205000;0.053000;248.948000
290000;0.216000;0.055000;267.464000
300000;0.257000;0.062000;286.541000
310000;0.253000;0.063000;306.427000
320000;0.304000;0.064000;324.910000
330000;0.285000;0.065000;340.165000
340000;0.333000;0.067000;358.999000
350000;0.333000;0.066000;371.194000
360000;0.297000;0.066000;389.084000
370000;0.324000;0.069000;413.683000
380000;0.335000;0.071000;437.437000
390000;0.358000;0.075000;459.076000
400000;0.477000;0.081000;485.636000
410000;0.404000;0.078000;513.736000
420000;0.396000;0.078000;553.982000
430000;0.397000;0.079000;547.099000
440000;0.479000;0.085000;609.745000
450000;0.431000;0.083000;584.579000
460000;0.443000;0.085000;613.650000
470000;0.462000;0.087000;645.474000
480000;0.482000;0.090000;673.077000
490000;0.503000;0.090000;700.985000
500000;0.517000;0.094000;728.729000
10000;0.001000;0.002000;0.242000
20000;0.003000;0.003000;1.177000
30000;0.008000;0.004000;2.570000
40000;0.006000;0.006000;4.800000
50000;0.007000;0.008000;7.212000
60000;0.009000;0.009000;10.330000
70000;0.011000;0.011000;14.086000
80000;0.013000;0.013000;18.436000
90000;0.015000;0.014000;23.381000
100000;0.026000;0.018000;28.982000
110000;0.024000;0.018000;35.077000
120000;0.036000;0.021000;41.895000
130000;0.038000;0.022000;49.057000
140000;0.045000;0.024000;57.103000
150000;0.049000;0.025000;65.225000
160000;0.056000;0.029000;74.613000
170000;0.057000;0.030000;84.067000
180000;0.060000;0.033000;94.098000
190000;0.071000;0.034000;108.056000
200000;0.079000;0.036000;119.536000
210000;0.151000;0.048000;160.410000
